churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls
No,137.0,1,1,0.0,155.5,81.0,26.44,133.1,94.0,11.31,253.1,77.0,11.39,9.1,2.0,2.46,1.0
No,90.0,1,1,0.0,214.9,97.0,36.53,117.8,117.0,10.01,133.7,78.0,6.02,11.8,2.0,3.19,2.0
No,137.0,1,1,0.0,115.0,130.0,19.55,137.8,83.0,11.71,224.0,61.0,10.08,7.3,4.0,1.97,3.0
No,136.0,0,0,29.0,85.2,98.0,14.48,230.4,85.0,19.58,243.6,104.0,10.96,9.0,3.0,2.43,2.0
No,79.0,1,1,0.0,144.0,90.0,24.48,135.8,91.0,11.54,212.4,129.0,9.56,13.0,4.0,3.51,1.0
No,112.0,1,1,0.0,210.4,78.0,35.77,172.4,75.0,14.65,240.0,105.0,10.8,11.7,3.0,3.16,2.0
No,3.0,1,1,0.0,182.9,87.0,31.09,172.1,103.0,14.63,233.1,89.0,10.49,12.1,3.0,3.27,4.0
No,119.0,1,1,0.0,94.2,108.0,16.01,264.1,100.0,22.45,203.7,79.0,9.17,7.3,3.0,1.97,1.0
No,83.0,1,0,37.0,78.5,109.0,13.35,210.5,101.0,17.89,179.7,102.0,8.09,11.8,4.0,3.19,1.0
No,120.0,1,0,29.0,244.3,140.0,41.53,322.3,89.0,27.4,166.8,83.0,7.51,10.6,6.0,2.86,0.0
No,85.0,1,1,0.0,225.0,81.0,38.25,176.9,63.0,15.04,194.3,110.0,8.74,7.1,2.0,1.92,3.0
No,58.0,1,1,0.0,174.4,112.0,29.65,265.8,122.0,22.59,182.4,87.0,8.21,0.0,0.0,0.0,4.0
No,183.0,1,0,8.0,86.5,119.0,14.71,285.2,97.0,24.24,180.4,133.0,8.12,8.7,2.0,2.35,2.0
No,138.0,1,1,0.0,230.1,107.0,39.12,212.0,120.0,18.02,174.9,119.0,7.87,13.2,4.0,3.56,1.0
No,128.0,1,1,0.0,147.7,94.0,25.11,283.3,83.0,24.08,188.3,124.0,8.47,6.9,5.0,1.86,2.0
No,95.0,1,0,39.0,260.8,130.0,44.34,213.4,111.0,18.14,195.6,97.0,8.8,10.1,5.0,2.73,1.0
No,83.0,1,0,25.0,191.3,95.0,32.52,250.7,136.0,21.31,249.4,86.0,11.22,17.6,5.0,4.75,2.0
No,87.0,1,0,16.0,257.4,91.0,43.76,232.0,101.0,19.72,143.2,73.0,6.44,14.7,2.0,3.97,1.0
No,132.0,1,1,0.0,99.0,126.0,16.83,189.4,76.0,16.1,156.3,108.0,7.03,8.4,3.0,2.27,1.0
No,138.0,1,0,26.0,183.9,83.0,31.26,240.7,93.0,20.46,185.7,125.0,8.36,15.0,3.0,4.05,1.0
No,79.0,1,1,0.0,161.1,110.0,27.39,170.6,111.0,14.5,274.4,80.0,12.35,7.6,2.0,2.05,2.0
No,212.0,1,1,0.0,126.0,96.0,21.42,144.3,80.0,12.27,302.8,102.0,13.63,7.6,3.0,2.05,1.0
No,164.0,1,0,30.0,238.8,100.0,40.6,230.0,121.0,19.55,206.3,66.0,9.28,13.2,8.0,3.56,1.0
No,76.0,1,0,35.0,273.7,94.0,46.53,153.3,101.0,13.03,259.0,109.0,11.66,3.8,3.0,1.03,0.0
No,88.0,1,1,0.0,138.7,92.0,23.58,205.8,73.0,17.49,247.9,119.0,11.16,9.8,5.0,2.65,1.0
No,69.0,1,0,40.0,77.0,106.0,13.09,161.7,94.0,13.74,188.6,82.0,8.49,12.5,6.0,3.38,1.0
No,7.0,1,1,0.0,206.7,87.0,35.14,281.1,83.0,23.89,158.5,77.0,7.13,11.0,5.0,2.97,3.0
No,111.0,1,0,36.0,166.2,54.0,28.25,238.8,109.0,20.3,108.8,99.93292929292929,9.015240404040405,11.2,2.0,3.02,3.0
No,134.0,1,1,0.0,242.4,126.0,41.21,152.9,115.0,13.0,318.3,115.0,14.32,11.8,6.0,3.19,1.0
No,122.0,1,0,29.0,195.4,83.0,33.22,268.2,93.0,22.8,168.0,95.0,7.56,8.4,6.0,2.27,3.0
No,47.0,1,0,30.0,196.6,93.0,33.42,241.4,140.0,20.52,226.0,118.0,10.17,12.9,4.0,3.48,2.0
No,55.0,1,0,28.0,105.3,82.0,17.9,197.4,109.0,16.78,187.5,91.0,8.44,8.6,6.0,2.32,2.0
No,167.0,0,1,0.0,181.2,122.0,30.8,262.5,77.0,22.31,214.0,88.0,9.63,8.4,4.0,2.27,0.0
No,147.0,1,0,35.0,110.8,123.0,18.84,199.2,81.0,16.93,212.9,77.0,9.58,8.9,4.0,2.4,2.0
No,155.0,1,1,0.0,165.4,108.0,28.12,183.7,103.0,15.61,80.2,108.0,3.61,8.9,4.0,2.4,3.0
No,112.0,0,0,16.0,200.3,72.0,34.05,197.8,91.0,16.81,151.1,92.0,6.8,10.4,3.0,2.81,1.0
No,97.0,1,1,0.0,151.6,107.0,25.77,155.4,96.0,17.048292929292934,240.0,112.0,10.8,14.7,4.0,3.97,1.0
No,172.0,1,1,0.0,169.8,123.0,28.87,183.1,94.0,15.56,395.0,72.0,17.77,12.7,7.0,3.43,2.0
No,124.0,1,1,0.0,158.6,104.0,26.96,211.2,77.0,17.95,179.3,104.0,8.07,10.2,8.0,2.75,3.0
No,121.0,1,1,0.0,181.5,121.0,30.86,218.4,98.0,18.56,161.6,103.0,7.27,8.5,5.0,2.3,1.0
No,86.0,1,1,0.0,181.1,124.0,30.79,229.5,105.0,19.51,122.2,91.0,5.5,5.6,6.0,1.51,5.0
No,133.0,1,1,0.0,240.8,72.0,40.94,202.7,62.0,17.23,212.9,76.0,9.015240404040405,7.7,5.0,2.08,1.0
No,92.0,1,1,0.0,192.1,87.0,32.66,193.0,122.0,16.41,133.4,79.0,6.0,10.7,2.0,2.89,1.0
No,15.0,1,1,0.0,135.2,101.0,22.98,152.5,79.0,12.96,224.8,83.0,10.12,8.4,5.0,2.27,2.0
No,122.0,1,0,34.0,146.4,104.0,24.89,89.7,103.0,7.62,220.0,91.0,9.9,15.6,4.0,4.21,2.0
No,50.0,1,1,0.0,301.7,82.0,51.29,167.1,118.0,14.2,72.2,89.0,3.25,10.5,6.0,2.84,1.0
No,21.0,1,1,0.0,138.1,79.0,23.48,186.9,75.0,15.89,194.2,105.0,8.74,12.1,1.0,3.27,0.0
No,119.0,1,0,19.0,178.1,110.0,30.28,212.8,100.0,18.09,226.3,123.0,10.18,10.0,6.0,2.7,1.0
No,146.0,1,0,32.0,154.0,80.0,26.18,185.5,91.0,15.77,148.2,107.0,6.67,8.2,4.0,2.21,3.0
No,64.0,1,0,27.0,201.3,101.0,34.22,143.8,89.0,12.22,150.2,127.0,6.76,12.3,3.0,3.32,1.0
No,128.0,1,1,0.0,140.3,108.0,23.85,235.3,111.0,20.0,200.8,57.0,9.04,11.8,6.0,3.19,1.0
No,158.0,1,1,0.0,245.1,68.0,41.67,195.8,100.0,16.64,244.2,80.0,10.99,11.5,4.0,3.11,2.0
No,130.0,1,0,12.0,141.9,92.0,24.12,228.9,102.0,19.46,195.1,101.0,8.78,8.7,5.0,2.35,0.0
No,158.5594786711189,1,1,0.0,225.3,124.0,38.3,228.0,81.0,19.38,254.3,106.0,11.44,11.7,3.0,3.16,1.0
No,91.0,1,1,0.0,251.5,57.0,42.76,179.1,113.0,15.22,163.2,72.0,7.34,6.6,3.0,1.78,1.0
No,71.0,1,0,31.0,115.4,90.0,19.62,217.4,78.0,18.48,239.9,102.0,10.8,13.1,4.0,3.54,1.0
No,137.0,1,1,0.0,215.9,76.0,36.7,145.4,118.0,12.36,186.9,129.0,8.41,12.1,4.0,3.27,1.0
No,64.0,0,0,33.0,127.2,93.0,21.62,162.9,104.0,13.85,247.4,109.0,11.13,8.1,13.0,2.19,0.0
No,65.0,1,1,0.0,193.8,113.0,32.95,151.7,106.0,12.89,208.9,94.0,9.4,12.6,3.0,3.4,3.0
No,109.0,1,1,0.0,137.0,128.0,23.29,217.0,116.0,18.45,182.1,86.0,8.19,10.0,5.0,2.7,2.0
No,116.0,1,0,24.0,183.6,138.0,31.21,203.8,90.0,17.32,166.9,89.0,7.51,6.0,3.0,1.62,2.0
No,62.0,1,1,0.0,166.9,76.0,28.37,223.6,113.0,19.01,188.9,87.0,8.5,14.2,5.0,3.83,1.0
No,90.0,1,1,0.0,37.8,80.0,6.43,155.3,105.0,13.2,175.0,111.0,7.88,14.2,5.0,3.83,3.0
No,157.0,1,1,0.0,220.7,105.0,37.52,119.3,127.0,10.14,165.1,113.0,7.43,11.5,7.0,3.11,4.0
No,111.0,1,1,0.0,191.3,80.0,32.52,138.5,94.0,11.77,246.0,107.0,11.07,6.4,3.0,1.73,2.0
No,144.0,1,1,0.0,133.3,101.0,22.66,255.5,127.0,21.72,228.6,68.0,10.29,11.6,2.0,3.13,0.0
No,68.0,1,1,0.0,248.6,59.0,42.26,199.1,126.0,16.92,200.46569696969695,117.0,5.06,6.5,3.0,1.76,2.0
No,162.0,1,1,0.0,177.1,131.0,30.11,114.7,122.0,9.75,153.6,88.0,6.91,6.5,6.0,1.76,3.0
No,41.0,1,1,0.0,202.9,97.0,34.49,153.8,104.0,13.07,113.5,92.0,5.11,9.0,3.0,2.43,3.0
No,100.0,0,1,0.0,68.5,110.0,11.65,337.1,115.0,28.65,205.2,99.0,9.23,12.1,9.0,3.27,0.0
No,74.0,1,1,0.0,102.7,89.0,17.46,149.3,100.0,12.69,188.1,114.0,8.46,11.0,5.0,2.97,0.0
No,92.0,0,1,0.0,264.3,91.0,44.93,160.9,115.0,13.68,198.6,73.0,8.94,9.3,5.0,2.51,0.0
No,53.0,1,0,22.0,180.30662450726038,115.0,12.94,171.2,119.0,14.55,246.3,126.0,11.08,6.0,2.0,1.62,0.0
No,111.0,1,0,23.0,87.7,91.0,14.91,218.3,118.0,18.56,173.1,87.0,7.79,12.3,4.0,3.32,1.0
No,87.0,1,1,0.0,221.4,69.0,37.64,195.2,53.0,16.59,120.6,91.0,5.43,13.7,4.0,3.7,1.0
No,160.0,1,1,0.0,237.1,126.0,40.31,238.4,127.0,20.26,181.3,100.0,8.16,10.7,8.0,2.89,2.0
No,137.0,1,1,0.0,144.0,90.0,24.48,181.6,100.0,15.44,128.1,93.0,5.76,12.3,2.0,3.32,0.0
No,78.0,1,1,0.0,157.3,61.0,26.74,242.0,119.0,20.57,196.0,107.0,8.82,10.6,1.0,2.86,1.0
No,62.0,1,0,42.0,137.3,95.0,23.34,184.2,94.0,15.66,231.4,70.0,10.41,10.2,3.0,2.75,0.0
No,123.0,1,0,27.0,198.7,127.0,33.78,249.0,105.0,21.17,173.2,124.0,7.79,12.5,5.0,3.38,1.0
No,116.0,1,1,0.0,215.6,127.0,36.65,200.67979797979797,110.0,8.97,291.7,80.0,13.13,11.2,7.0,3.02,3.0
No,131.0,1,0,24.0,135.9,60.0,23.1,233.2,78.0,19.82,210.6,121.0,9.48,9.4,4.0,2.54,1.0
No,169.0,1,1,0.0,135.7,111.0,23.07,223.0,124.0,18.96,167.5,101.0,7.54,9.5,4.0,2.57,1.0
No,64.0,1,1,0.0,224.8,111.0,38.22,190.0,101.0,16.15,221.4,110.0,9.96,9.2,2.0,2.48,1.0
No,96.0,1,1,0.0,183.9,88.0,31.26,109.2,86.0,9.28,190.2,78.0,8.56,16.6,7.0,4.48,2.0
No,118.0,1,0,36.0,294.9,106.0,50.13,165.7,115.0,14.08,189.2,63.0,8.51,9.8,5.0,2.65,3.0
No,63.0,1,0,32.0,218.9,124.0,37.21,214.3,125.0,18.22,260.3,120.0,11.71,12.9,3.0,3.48,1.0
No,101.0,1,1,0.0,164.6,85.0,27.98,204.9,72.0,17.42,136.4,104.0,6.14,11.5,5.0,3.11,0.0
No,68.0,1,1,0.0,172.5,115.0,29.33,221.9,126.0,18.86,170.9,98.0,7.69,6.8,8.0,1.84,4.0
No,140.0,1,1,0.0,187.1,110.0,31.81,158.0,70.0,13.43,211.4,123.0,9.51,8.5,2.0,2.3,2.0
No,79.0,1,0,34.0,103.7,100.0,17.63,236.3,78.0,20.09,256.6,102.0,11.55,14.8,4.0,4.0,2.0
No,57.0,1,0,30.0,179.2,105.0,30.46,283.2,83.0,24.07,228.1,77.0,10.26,14.7,5.0,3.97,1.0
No,110.0,1,0,34.0,192.3,114.0,32.69,129.3,114.0,10.99,136.3,102.0,6.13,6.3,12.0,1.7,1.0
No,61.0,1,0,28.0,239.9,110.0,40.78,218.9,87.0,18.61,166.0,46.0,7.47,12.1,4.0,3.27,1.0
No,128.0,1,0,34.0,142.3,73.0,24.19,194.8,79.0,16.56,239.3,81.0,10.77,16.0,6.0,4.32,1.0
No,92.0,1,1,0.0,196.5,82.0,33.41,190.0,89.0,16.15,163.2,99.0,7.34,10.8,2.0,2.92,2.0
No,74.0,1,1,0.0,201.4,112.0,34.24,109.6,71.0,9.32,200.2,135.0,9.01,10.7,2.0,2.89,1.0
No,100.23829504382999,1,1,0.0,181.9,70.0,30.92,233.5,83.0,19.85,194.6,80.0,8.76,8.1,9.0,2.19,1.0
No,16.0,1,1,0.0,144.8,84.0,24.62,164.9,141.0,14.02,231.5,75.0,10.42,8.2,4.0,2.21,2.0
No,61.0,1,1,0.0,217.5,116.0,36.98,258.5,108.0,21.97,210.4,99.0,9.47,10.259010101010102,3.0,2.35,1.0
No,86.0,1,0,31.0,167.6,139.0,28.49,113.0,118.0,9.61,246.9,121.0,11.11,12.2,6.0,3.29,1.0
No,81.0,1,1,0.0,153.5,99.0,26.1,197.6,102.0,16.8,198.5,86.0,8.93,6.3,2.0,1.7,1.569090909090909
No,78.0,1,0,13.0,281.2,93.0,47.8,178.2,101.0,15.15,244.2,129.0,10.99,6.4,5.0,1.73,2.0
No,79.0,1,1,0.0,220.9,107.0,37.55,192.2,97.0,16.34,161.0,74.0,7.25,12.2,2.0,3.29,1.0
No,25.0,1,1,0.0,119.3,87.0,20.28,211.5,101.0,17.98,268.9,86.0,12.1,10.5,4.0,2.84,3.0
No,112.0,1,1,0.0,194.4,101.0,33.05,190.3,82.0,16.18,183.4,107.0,8.25,11.4,2.0,3.08,0.0
No,100.0,1,0,32.0,125.2,123.0,21.28,230.9,101.0,19.63,192.0,106.0,8.64,12.6,9.0,3.4,3.0
No,100.23829504382999,1,1,0.0,155.2,79.0,26.38,235.3,123.0,20.0,169.4,80.0,7.62,8.7,4.0,2.35,1.0
No,98.0,0,0,23.0,245.5,54.0,41.74,292.7,83.0,24.88,184.0,90.0,8.28,10.8,7.0,2.92,1.0
No,124.0,1,1,0.0,178.4,72.0,30.33,233.6,134.0,19.86,179.4,91.0,8.07,12.0,2.0,3.24,0.0
No,134.0,1,0,32.0,224.0,75.0,38.08,97.5,103.0,8.29,211.6,80.0,9.52,10.7,5.0,2.89,2.0
No,79.0,1,0,12.0,62.4,119.0,10.61,237.6,96.0,20.2,193.4,116.0,8.7,7.8,2.0,2.11,0.0
No,139.0,0,1,0.0,185.1,101.0,31.47,266.7,75.0,22.67,207.9,95.0,9.36,9.0,3.0,2.43,3.0
No,111.0,0,1,0.0,145.8,106.0,24.79,172.5,143.0,14.66,143.9,123.0,6.48,11.9,4.0,3.21,1.0
No,161.0,1,0,39.0,218.5,76.0,37.15,112.7,94.0,9.58,205.1,121.0,9.23,7.3,4.0,1.97,1.0
No,56.0,1,1,0.0,150.9,79.0,25.65,161.8,87.0,13.75,167.7,115.0,7.55,11.7,5.0,3.16,3.0
No,155.0,1,1,0.0,223.8,109.0,38.05,233.4,68.0,19.84,201.6,111.0,9.07,10.259010101010102,8.0,2.38,1.0
No,97.0,1,0,43.0,121.1,105.0,20.59,260.2,115.0,22.12,222.4,100.0,9.015240404040405,8.3,5.0,2.24,3.0
No,152.0,1,1,0.0,228.1,93.0,38.78,136.4,106.0,11.59,197.3,99.93292929292929,8.88,9.0,2.0,2.43,1.0
No,51.0,1,0,43.0,158.2,94.0,26.89,213.2,105.0,18.12,190.4,91.0,8.57,8.5,2.0,2.3,2.0
No,35.0,1,1,0.0,158.6,67.0,26.96,130.4,96.0,11.08,229.8,80.0,10.34,6.9,5.0,1.86,2.0
No,38.0,1,1,0.0,228.3,129.0,38.81,141.9,83.0,12.06,268.6,116.0,12.09,9.7,3.0,2.62,2.0
No,120.0,1,1,0.0,215.7,75.0,36.67,244.4,105.0,20.77,211.2,91.0,9.5,11.4,5.0,3.08,2.0
No,105.0,1,0,15.0,88.1,125.0,14.98,175.9,142.0,14.95,269.9,85.0,12.15,9.7,1.0,2.62,2.0
No,55.0,1,0,8.0,222.5,104.0,37.83,171.5,94.0,14.58,377.5,114.0,16.99,9.7,2.0,2.62,1.0
No,138.0,1,1,0.0,171.4,117.0,29.14,115.2,128.0,9.79,224.5,115.0,10.1,17.0,4.0,4.59,3.0
No,131.0,1,1,0.0,212.8,108.0,36.18,212.0,115.0,18.02,235.9,96.0,10.62,9.8,11.0,2.65,0.0
No,177.0,1,0,21.0,234.0,108.0,39.78,238.0,61.0,20.23,201.9,125.0,9.09,8.8,4.0,2.38,0.0
No,27.0,1,1,7.763636363636364,193.8,102.0,32.95,118.9,104.0,10.11,135.9,124.0,6.12,9.2,3.0,2.48,0.0
No,176.0,1,1,0.0,47.4,125.0,8.06,167.8,90.0,14.26,163.1,107.0,7.34,10.5,8.0,2.84,2.0
No,147.0,1,1,0.0,168.6,92.0,28.66,187.7,107.0,15.95,216.5,95.0,9.74,14.4,8.0,3.89,2.0
No,115.0,1,0,16.0,133.3,110.0,22.66,185.7,111.0,15.78,161.5,113.0,7.27,5.6,4.0,1.51,2.0
No,190.0,1,0,22.0,166.5,93.0,28.31,183.0,92.0,15.56,121.0,102.0,5.44,8.5,3.0,2.3,0.0
No,145.0,1,1,0.0,241.7,137.0,41.09,135.8,100.0,11.54,277.6,123.0,12.49,13.1,3.0,3.54,0.0
No,70.0,1,1,0.0,156.6,82.0,26.62,193.1,112.0,16.41,179.8,108.0,8.09,12.6,1.0,3.4,1.0
No,57.0,0,0,17.0,236.5,94.0,40.21,163.1,94.0,13.86,236.7,117.0,10.65,12.2,3.0,3.29,2.0
No,113.0,1,1,0.0,187.6,97.0,31.89,208.2,118.0,17.7,158.9,101.0,7.15,8.7,6.0,2.35,2.0
No,115.0,1,1,0.0,99.7,107.0,16.95,145.1,96.0,12.33,149.4,99.0,6.72,14.1,4.0,3.81,2.0
No,98.0,1,1,0.0,288.1,101.0,48.98,137.9,93.0,11.72,206.5,88.0,9.29,0.0,0.0,0.0,0.0
No,92.0,1,1,0.0,183.7,103.0,31.23,270.6,97.0,23.0,132.9,104.0,5.98,11.2,2.0,3.02,0.0
No,75.0,1,0,28.0,200.6,96.0,34.1,164.1,111.0,13.95,169.6,153.0,7.63,2.5,5.0,0.68,1.0
No,98.0,1,0,38.0,213.7,61.0,36.33,253.0,104.0,21.51,207.7,73.0,9.35,10.7,5.0,2.89,2.0
No,35.0,1,0,37.0,181.2,76.0,30.8,177.6,98.0,15.1,228.0,136.0,10.26,5.0,3.0,1.35,2.0
No,103.0,1,1,0.0,263.4,118.0,44.78,179.1,69.0,15.22,214.7,112.0,9.66,10.3,2.0,2.78,0.0
No,107.0,1,1,0.0,146.9,94.0,24.97,114.3,111.0,9.72,114.5,97.0,5.15,11.4,5.0,3.08,3.0
No,127.0,1,0,29.0,136.1,146.0,23.14,302.6,105.0,25.72,163.1,116.0,7.34,18.5,2.0,5.0,2.0
No,64.0,1,1,0.0,50.6,100.03878787878787,8.6,308.9,78.0,26.26,255.4,114.0,11.49,13.7,5.0,3.7,2.0
No,89.0,1,1,0.0,179.7,128.0,30.55,299.8,92.0,25.48,185.3,120.0,8.34,7.6,3.0,2.05,1.0
No,162.0,0,1,0.0,172.1,138.0,29.26,165.9,93.0,14.1,279.0,81.0,12.56,9.2,6.0,2.48,2.0
No,119.0,1,0,35.0,217.1,92.0,36.91,220.8,134.0,18.77,249.5,93.0,11.23,8.0,5.0,2.16,2.0
No,109.0,1,1,0.0,188.8,67.0,32.1,171.7,92.0,14.59,224.4,89.0,9.015240404040405,8.5,6.0,2.3,0.0
No,100.0,1,1,0.0,210.9,85.0,35.85,329.3,69.0,27.99,127.1,78.0,5.72,9.4,5.0,2.54,4.0
No,156.0,1,1,7.763636363636364,174.5,65.0,29.67,197.4,116.0,16.78,238.5,86.0,10.73,10.6,2.0,2.86,0.0
No,53.0,1,0,24.0,180.30662450726038,146.0,24.77,220.5,136.0,18.74,249.9,96.0,11.25,13.1,5.0,3.54,3.0
No,78.0,1,1,0.0,149.7,119.0,25.45,182.2,115.0,15.49,261.5,126.0,11.77,9.7,8.0,2.62,0.0
No,95.0,1,1,0.0,203.4,96.0,34.58,168.6,61.0,14.33,173.0,105.0,7.79,13.7,3.0,3.7,2.0
No,67.0,1,1,0.0,179.8,125.0,30.57,173.2,86.0,14.72,272.8,97.0,12.28,10.9,4.0,2.94,0.0
No,84.0,1,1,0.0,214.9,72.0,36.53,197.7,92.0,16.8,153.1,79.0,6.89,11.9,2.0,3.21,2.0
No,115.0,0,1,0.0,147.7,105.0,25.11,184.1,68.0,15.65,153.5,102.0,6.91,12.7,5.0,3.43,0.0
No,48.0,1,1,0.0,247.6,114.0,30.62938639792639,172.3,110.0,14.65,264.4,107.0,11.9,7.1,3.0,1.92,1.569090909090909
No,103.0,1,0,29.0,294.7,95.0,50.1,237.3,105.0,20.17,300.3,127.0,13.51,13.7,6.0,3.7,1.0
No,67.0,1,0,30.0,23.939952371184944,117.0,31.65,286.7,76.0,24.37,164.3,113.0,7.39,12.9,3.0,3.48,2.0
No,141.0,1,0,23.0,149.7,112.0,25.45,162.5,118.0,13.81,220.3,115.0,9.91,7.6,2.0,2.05,3.0
No,42.0,1,1,0.0,217.2,122.0,36.92,303.2,58.0,25.77,147.3,114.0,6.63,14.0,4.0,3.78,2.0
No,156.0,1,1,0.0,174.3,95.0,29.63,186.6,128.0,15.86,258.2,105.0,11.62,12.9,5.0,3.48,3.0
No,107.0,1,0,36.0,96.3,83.0,16.37,179.6,91.0,15.27,166.3,121.0,7.48,10.3,2.0,2.78,1.0
No,62.0,1,1,0.0,186.8,94.0,31.76,207.6,92.0,17.65,195.0,98.0,8.78,8.8,4.0,2.38,3.0
No,13.0,1,0,31.0,265.3,94.0,30.62938639792639,147.6,95.0,12.55,259.3,117.0,11.67,12.9,1.0,3.48,1.0
No,85.0,1,1,0.0,127.9,107.0,21.74,271.2,124.0,23.05,202.2,76.0,9.1,12.5,5.0,3.38,0.0
No,137.0,1,0,19.0,175.3,96.0,29.8,241.3,146.0,20.51,211.4,109.0,9.51,7.8,2.0,2.11,1.569090909090909
No,32.0,1,0,26.0,243.5,137.0,41.4,236.8,108.0,20.13,173.3,149.0,7.8,9.0,9.0,2.43,1.0
No,154.0,1,0,35.0,64.9,76.0,11.03,184.1,91.0,15.65,151.6,75.0,6.82,14.6,1.0,3.94,1.0
No,182.0,1,1,0.0,104.9,111.0,17.83,198.5,120.0,16.87,258.2,91.0,11.62,8.0,5.0,2.16,2.0
No,81.0,1,1,0.0,125.1,103.0,21.27,209.6,103.0,17.82,186.2,78.0,8.38,11.8,1.0,3.19,1.0
No,129.0,0,1,0.0,267.4,78.0,45.46,204.2,85.0,17.36,111.7,146.0,5.03,5.9,4.0,1.59,1.0
No,162.0,1,1,0.0,49.2,121.0,8.36,143.9,136.0,12.23,203.0,97.0,9.14,12.1,13.0,3.27,1.0
No,108.0,1,1,0.0,133.1,100.03878787878787,22.63,256.3,103.0,21.79,247.2,118.0,11.12,11.9,3.0,3.21,3.0
No,108.0,1,1,0.0,187.4,101.0,31.86,199.9,126.0,16.99,216.1,107.0,9.72,12.6,8.0,3.4,1.0
No,83.0,1,1,0.0,178.8,102.0,30.4,167.9,84.0,14.27,178.9,65.0,8.05,8.6,4.0,2.32,3.0
No,164.0,1,1,0.0,215.6,90.0,36.65,171.6,99.0,14.59,110.4,105.0,4.97,11.3,6.0,3.05,1.0
